game	playhours	reviewtext
palworld	90.3	ballz
palworld	98.0	's ok
palworld	252.7	good
palworld	7.0	ill play game add pokemon sex
palworld	219.1	nerfs killed game
palworld	19.5	absolutely love game ca n't wait see 'll go
palworld	7.6	's honestly amazing highly recommend anyone love good action rpg game like pokemon : legend arceus
palworld	195.1	good fun game
palworld	190.8	's pokemon reboot action rpg battle always wanted online play would better massive ( ) official online server stable/reliable otherwise 's totally worth
palworld	33.4	great game
palworld	27.4	nice open world game load creative creature capture butcher
palworld	122.1	fun game
palworld	14.6	
palworld	24.4	pretty epic key chest schematic rng kinda b loved gameplay aside getting clapped gang pal
palworld	79.7	fun collector hoarder poke fan wo n't age well n't gameplay mode / event much larger collection collectable base building need upgrade designer type
palworld	25.0	yes
palworld	47.7	123
palworld	56.3	slavery simulator
palworld	40.6	slavery like good oll day
palworld	12.5	actually fun play frinds
palworld	72.2	big update wiped character progress dedicated server
palworld	38.1	great game pure fun
palworld	14.1	game remind old great britain time ( )
palworld	5.1	mindblowing game
palworld	0.7	idk
palworld	55.3	love game spend many hour collecting new pal building thing petting pal love merge tamagatchi digimon mechanic thing like shin megami tensei
palworld	8.9	fun game like survival
palworld	5.9	gun slavery exactly want
palworld	50.1	really fun acomplish many thing
palworld	52.1	really gpopd
palworld	64.0	good digtoise stupid continues work eye bloodshot yet there hot spring food right next manually keep putting tyhe hot spring untill he 100 % sanity also game crasjes alot please fix digtoise
palworld	5.0	kidnap people
palworld	182.4	love much fun
palworld	26.2	truly begin explain extensive fun playing game rumor true take pokemon add survival game like rust forest arc allow player whatever want overall really well mixed need certain pal task fire type smelt ore multiplayer large learning curve would recommend setting easy custom setting solo server playing multiplayer
palworld	72.7	computer xbox love xbox version definitely glitchy
palworld	36.9	love game explore build base catch pal fight boss fool around friends- relaxing play
palworld	11.1	good game
palworld	10.6	dumb game super fun time
palworld	261.1	really enjoyable game
palworld	60.6	
palworld	53.0	fun highly entertaining
palworld	49.7	fun interactive game
palworld	79.9	new player experience good even solo allot
palworld	794.0	best game hand money right fit well adult kid
palworld	10.1	pokemon better
palworld	63.4	love game got pc play everything would want open world survival monster helper
palworld	37.0	always wanted pokemon type game pc palworld provide
palworld	18.5	poor performance developer lazy hell n't know optimization know civilization great technology
palworld	6.5	game one best game ever
palworld	49.9	lack missons/ guess tan fun game
palworld	74.0	yeah game 100 % deserves love comunity giving first big patch came couple month let tell people read comment feedback added fixed like 70 % feature comunity requetsed wanted game worth every single penny
palworld	9.4	absolutely love game good alternative pokemon ark many game like fun cute critter love building great game
palworld	61.9	love game much fun 1000000000 % recommend
palworld	17.4	need palworld : pal
palworld	7.4	like game lot execpt one thing im big fan goal sure end goal fun id say add side quest something extra onto better like
palworld	76.4	
palworld	85.9	
palworld	26.8	need review game play see
palworld	31.8	good game
palworld	37.3	slavery
palworld	55.3	pet tame befriend n't enslave massacre
palworld	309.1	start saying never really played survival-type game palworld always seemed skill range daunting saw first public video palworld old engine thought `` ha gun little mon 's interesting '' honestly n't think would even make early access well look proved wrong launched new graphic style lot visual improvement big upgrade started started solo instantly hooked game walk learning process nice elegant way never felt like anything impossible reach n't put effort almost 500 day server 300hrs 've purchased several survival game indie company fallen love video game
palworld	5.7	n't anything say like hope hey game
palworld	46.4	beautiful game grinding
palworld	49.6	pokemon meet valheim sorta
palworld	97.3	j
palworld	221.0	absolutely love palworld game funny entertaining highly recommend anyone looking good time ca n't wait see new content come future definitely coming back update give try wo n't regret
palworld	121.8	w mechanic w graphic w game
palworld	57.6	forced labor okay
palworld	58.6	like pal base building
palworld	207.6	game crash every time try run started update 0206
palworld	130.1	gun pokemon
palworld	14.7	ark pokemon
palworld	195.5	fun time go quick
palworld	116.1	xdfgfghgfn
palworld	37.9	pokemon tried sleep
palworld	27.3	committed crime humanity
