game	playhours	reviewtext
craftopia	63.7	30h steam ( currently ) almost 190h xbox pretty gud game ngl even seamless update ( people going `` better without seamless '' 's option return legacy beta option game )
craftopia	35.0	craftopia amazing beautiful open world survival-craft rpg experience wonderfully blend various feature aspect different game create describe ultimate survival craft gameit feature nearly everything could want survival-craft game : fishing gathering mining farming course crafting expansive feature thing probably would n't expect typical survival game automation system hoverboards motorcycle plane tank variety skill tree weapon mastery gathering magic repeatable dungeon farmed loot drop like mmo variety monster animal catch tame complete skill training systemetci could go game beautiful experience one filled discovery exploration world vast open virtually everything anything desire build craft nearly anywhere wealth content questing dungeon crafting every new region discover every new item craft unlock brings sense whimsy wonder iti highly recommend game
craftopia	22.7	gud
craftopia	3.3	game still early access quite content game considering 's development stagethe game optimsed play high end rig people n't glitch discovered really annoying bug trying place work bench bench would n't workit quite enjoyable graphic beautiful many quest make absolutely sense simply real game tutorial woefully done thinking buying playing game still developed fixing bug one mentioned ' see place thing break game sense without crafting table 've made get play point game stop placing anything groundthe main thing development team split half game another relatively well known game interest advertising game easy find going say thatthe game play really n't play since major function game still lacking bare mind referring single player mode imagine devs would incentive number problem maybe did't think would problem could fixed quickly well n't farright would wait game get 's main stuff put game example rest tower vehicle game n't work well little thought went drive able flyable driving dreadful experience moment kite flying quite smooth problem itlet partially list bad thing exhaustive n't night either writing review game still feel like still late alpha build beta despite size game right 's meaningless game manual tell use stuff play gameneeds thing adjustedgraphics beautiful game play smoothly apart annoying bug forced stop playing played 3 hour thoroughly enjoyed every minute itcons - voice acting npc helping fight monster ( least genshin impact multiple character use anyone time ) npc 's really need livened somewhat n't seem communicate start random conversation npc interaction vital stop world becoming bore fest would also nice could befriend npc go monster killing item collecting etc would n't matter multiplayer single player without interaction game world feel utterly dead hence developer learn long way however n't word shooting forum full written guide absolutely needed sure bug fixed time biggest bug stopped playing suddenly unable place type workbench etc ground badly janky driving either airplane bike car however jankiness terrible want smooth drive without auto crash wallsit 's also got another bug get motorbike immediately get work laif fence buying game wait steam sale legal online seller selling key
craftopia	0.9	hmm n't like nothing better palworld
craftopia	79.9	loved original craftopia however seamless world update completely changed game honestly look run horrible character creation terrible reason dumb character outline glow movement look feel gross 'm sad ruined fun little game turn
craftopia	10.8	finish game pleasekept coming back update continue find little directionobviously used title test mechanic flesh new game palworld
craftopia	57.9	've playing game year < 3i love craftopia much < 3
craftopia	14.0	game abandoned maker favour game palworld thanks game success craftopia never finished shame spiritual predecessor palworld everything already
craftopia	1.3	scammed
